,Organisation,Location,Date,Detail,Rocket_Status,Price,Mission_Status
0,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sun Apr 28, 2024 6:08 PM EDT",Falcon 9 Block 5 | Starlink Group 6-54,StatusActive,67.0,Success
1,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Apr 27, 2024 8:34 PM EDT",Falcon 9 Block 5 | Galileo FOC FM25 & FM27,StatusActive,67.0,Success
2,CASC,"Site 901 (SLS-1), Jiuquan Satellite Launch Center, China","Thu Apr 25, 2024 8:59 AM EDT",Long March 2F/G | Shenzhou 18,StatusActive,,Success
3,Rocket Lab,"Rocket Lab LC-1B, Mahia Peninsula, New Zealand","Tue Apr 23, 2024 6:32 PM EDT",Electron/Curie | Beginning Of The Swarm,StatusActive,7.5,Success
4,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Tue Apr 23, 2024 6:17 PM EDT",Falcon 9 Block 5 | Starlink Group 6-53,StatusActive,67.0,Success
5,CASC,"LC-3, Xichang Satellite Launch Center, China","Sat Apr 20, 2024 7:45 PM EDT",Long March 2D | Yaogan 42-02,StatusActive,29.75,Success
6,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Apr 18, 2024 6:40 PM EDT",Falcon 9 Block 5 | Starlink Group 6-52,StatusActive,67.0,Success
7,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Wed Apr 17, 2024 5:26 PM EDT",Falcon 9 Block 5 | Starlink Group 6-51,StatusActive,67.0,Success
8,CASC,"Site 9401 (SLS-2), Jiuquan Satellite Launch Center, China","Mon Apr 15, 2024 12:12 AM EDT",Long March 2D | SuperView Neo 3-01,StatusActive,29.75,Success
9,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Apr 12, 2024 9:40 PM EDT",Falcon 9 Block 5 | Starlink Group 6-49,StatusActive,67.0,Success
10,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Thu Apr 11, 2024 10:25 AM EDT",Falcon 9 Block 5 | USSF-62/WSF-M 1,StatusActive,67.0,Success
11,Roscosmos,"Site 1A, Vostochny Cosmodrome, Russia","Thu Apr 11, 2024 5:00 AM EDT",Angara A5/Blok DM-03 | Vostochny Angara Test Flight,StatusActive,100.0,Success
12,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Wed Apr 10, 2024 1:40 AM EDT",Falcon 9 Block 5 | Starlink Group 6-48,StatusActive,67.0,Success
13,ULA,"SLC-37B, Cape Canaveral SFS, Florida, USA","Tue Apr 9, 2024 12:53 PM EDT",Delta IV Heavy | NROL-70,StatusRetired,350.0,Success
14,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sun Apr 7, 2024 7:16 PM EDT",Falcon 9 Block 5 | Bandwagon-1,StatusActive,67.0,Success
15,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Sat Apr 6, 2024 10:25 PM EDT",Falcon 9 Block 5 | Starlink Group 8-1,StatusActive,67.0,Success
16,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Fri Apr 5, 2024 5:12 AM EDT",Falcon 9 Block 5 | Starlink Group 6-47,StatusActive,67.0,Success
17,CASC,"LC-3, Xichang Satellite Launch Center, China","Tue Apr 2, 2024 6:56 PM EDT",Long March 2D | Yaogan 42-01,StatusActive,29.75,Success
18,SpaceX,"SLC-4E, Vandenberg SFB, California, USA","Mon Apr 1, 2024 10:30 PM EDT",Falcon 9 Block 5 | Starlink Group 7-18,StatusActive,67.0,Success
19,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sun Mar 31, 2024 5:36 AM EDT",Soyuz 2.1b | Resurs-P No.4,StatusActive,20.0,Success
20,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Sat Mar 30, 2024 9:30 PM EDT",Falcon 9 Block 5 | Starlink Group 6-45,StatusActive,67.0,Success
21,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Mar 30, 2024 5:52 PM EDT",Falcon 9 Block 5 | Eutelsat 36D,StatusActive,67.0,Success
22,CASC,"LC-9A, Taiyuan Satellite Launch Center, China","Tue Mar 26, 2024 6:51 PM EDT",Long March 6A | Yunhai 3-02,StatusActive,,Success
23,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Mon Mar 25, 2024 7:42 PM EDT",Falcon 9 Block 5 | Starlink Group 6-46,StatusActive,67.0,Success
24,SpaceX,"LC-39A, Kennedy Space Center, Florida, USA","Sat Mar 23, 2024 11:09 PM EDT",Falcon 9 Block 5 | Starlink Group 6-42,StatusActive,67.0,Success
25,Roscosmos,"Site 31/6, Baikonur Cosmodrome, Kazakhstan","Sat Mar 23, 2024 8:36 AM EDT",Soyuz 2.1a | Soyuz MS-25,StatusActive,17.42,Success
26,SpaceX,"SLC-40, Cape Canaveral SFS, Florida, USA","Thu Mar 21, 2024 4:55 PM EDT",Falcon 9 Block 5 | CRS SpX-30,StatusActive,67.0,Success
